city,state,country,lat,lon
Skagit Valley,WA,USA,48.4201,-122.334
Berkeley,CA,USA,37.8715,-122.273
Petaluma,CA,USA,38.2324,-122.6367
Milwaukie,OR,USA,45.446,-122.639
Norwich,VT,USA,43.7156,-72.3095
Park City,UT,USA,40.6461,-111.498
Hereford,TX,USA,34.8153,-102.3991
Emeryville,CA,USA,37.8313,-122.2852
Chicago,IL,USA,41.8781,-87.6298
Minneapolis,MN,USA,44.9778,-93.265
Battle Creek,MI,USA,42.3211,-85.1797
St. Louis,MO,USA,38.627,-90.1994
Greenwich,CT,USA,41.0262,-73.6282
Thomasville,GA,USA,30.8366,-83.9788
