brand,category,qualifying_signal,signal_evidence,brand_origin_city,brand_origin_state,brand_origin_source,direct_owner,ultimate_parent,parent_type,parent_hq_city,parent_hq_state,parent_hq_country,ownership_source_1,ownership_source_2,verified_on,notes
Cascadian Farm,cereal,farm_name,"""Farm"" in the brand name, and the brand's own page centres on a ""Home Farm"" in Skagit Valley started in 1972 by founder Gene Kahn",Skagit Valley,WA,https://www.cascadianfarm.com/about-us,"General Mills, Inc.","General Mills, Inc.",public_company,Minneapolis,MN,USA,https://www.cascadianfarm.com/about-us,https://www.cornucopia.org/2014/09/general-mills-buys-annies-820m/,2026-09-22,"Brand page states ""General Mills will continue to own and market the Cascadian Farm brand"". In 2022 General Mills donated the Home Farm to Rodale Institute, so the farm in the story is no longer the brand's. Second source lists Cascadian Farm among General Mills' natural and organic acquisitions."
Annie's,cereal,founder_name,"Brand carries the first name of co-founder Annie Withey; second source states the company ""is named after Annie Withey""",Berkeley,CA,https://www.cornucopia.org/2014/09/general-mills-buys-annies-820m/,"General Mills, Inc.","General Mills, Inc.",public_company,Minneapolis,MN,USA,https://www.annies.com/about-us,https://www.cornucopia.org/2014/09/general-mills-buys-annies-820m/,2026-09-22,"origin_unconfirmed: Berkeley comes from the news source, not the brand's own page, because annies.com renders its story client-side. Ownership is firm: annies.com carries ""(c) 2026 General Mills"" and the second source reports the $820m 2014 acquisition. Withey had left the company by the time of the sale."
Bear Naked,granola,family_claim,"Founder-origin-story branding: two friends making granola by hand. Second source: ""Brendan Synott, who founded the company in 2002 with a friend, Kelly Flately, began by distributing hand packed lots of granola to bed and breakfasts""",,,,WK Kellogg Co,WK Kellogg Co,public_company,Battle Creek,MI,USA,https://www.wkkellogg.com/our-foods/our-brands,https://www.foodnavigator-usa.com/Article/2012/12/10/Bear-Naked-Granola-founder-on-building-a-brand/,2026-09-22,"origin_unconfirmed: the brand makes no self-claimed hometown on a page I could open, so no origin is recorded and it draws no map line. Ownership is firm: Bear Naked is listed on WK Kellogg Co's own brands page. It came to Kellogg via Kashi in 2007 and stayed with WK Kellogg Co in the 2023 separation from Kellanova."
Barbara's,cereal,founder_name,"Brand carries founder Barbara Jaffe's first name; packaging returned to ""Petaluma's pastoral landscape"" and the parent's own history page says it was ""founded in Northern California in 1971 by 17-year-old Barbara Jaffe""",Petaluma,CA,https://www.pressdemocrat.com/article/news/barbaras-bakery-rebranding-turns-to-petaluma-legacy/,"Post Consumer Brands, LLC","Post Holdings, Inc.",public_company,St. Louis,MO,USA,https://www.postconsumerbrands.com/our-history/,https://www.pressdemocrat.com/article/news/barbaras-bakery-rebranding-turns-to-petaluma-legacy/,2026-09-22,"origin_unconfirmed: Petaluma is sourced to the local newspaper rather than the brand's own page. Chain: Jaffe sold to Weetabix Co. in 1986; Post Consumer Brands later acquired the Weetabix U.S. portfolio including Barbara's. Post Consumer Brands, LLC is in Lakeville MN; its parent Post Holdings, Inc. is in St. Louis MO."
Bob's Red Mill,oatmeal,founder_name,"Founder's first name plus ""Mill"" in the brand. Own page: ""PROUDLY EMPLOYEE OWNED SINCE 2010"" and ""from Bob and his original stone mill, we have become an employee-owned business""",Milwaukie,OR,,"Bob's Red Mill Natural Foods, Inc.","Bob's Red Mill Natural Foods, Inc.",employee_owned,Milwaukie,OR,USA,https://www.bobsredmill.com/employee-owned,https://www.nceo.org/employee-ownership-blog/bob-moore-iconic-founder-bobs-red-mill-passes-away-age-94,2026-09-22,"origin_unconfirmed: Milwaukie is the company HQ and is not cited to a brand page I opened. Ownership is firm: the brand's own page states 100% employee ownership reached 30 April 2020, and the second source is the National Center for Employee Ownership on founder Bob Moore."
King Arthur Baking Company,mix,founder_name,"A named persona carried as the brand. Employee ownership is stated on its own site (""100% Employee-owned"") and dated by the second source",Norwich,VT,,"King Arthur Baking Company, Inc.","King Arthur Baking Company, Inc.",employee_owned,Norwich,VT,USA,https://www.kingarthurbaking.com/about/employee-ownership,https://www.veoc.org/profiles/king-arthur-baking-company,2026-09-22,"origin_unconfirmed: Norwich VT is not cited to a brand page I opened. Ownership is firm: the Vermont Employee Ownership Center records ""Year Founded: 1790; 1984: Moved to Vermont"" and ""Employee-Owned Since: 1996 (ESOP); 2004 (100%)""."
Kodiak Cakes,mix,family_claim,"Own story page: ""It all started in 1982 with 8-year-old Joel Clark going door-to-door with a red wagon selling brown paper bags filled with his grandfather's heirloom flapjack recipe""",Park City,UT,,L Catterton,L Catterton,private_equity,Greenwich,CT,USA,https://www.prnewswire.com/news-releases/l-catterton-completes-acquisition-of-kodiak-cakes-301323863.html,https://www.kodiakcakes.com/pages/our-story,2026-09-22,"origin_unconfirmed: the brand's own page places its HQ only ""in the shadow of the beautiful Wasatch Mountain range"", so the city is not cited to it. Ownership is firm: L Catterton announced completion of the acquisition on 1 July 2021."
Arrowhead Mills,oatmeal,farm_name,"""Mills"" in the brand. Acquisition release: ""The brand was founded in 1960 in the Texas Panhandle by Frank Ford, a pioneer in organic farming""",Hereford,TX,,Hometown Food Company,Brynwood Partners,private_equity,Greenwich,CT,USA,https://www.prnewswire.com/news-releases/hometown-food-company-acquires-the-arrowhead-mills-and-sunspire-brands-from-the-hain-celestial-group-inc-300933766.html,https://www.fooddive.com/news/hain-celestial-sells-arrowhead-mills-and-sunspire-to-private-equity-for-15/564646/,2026-09-22,"origin_unconfirmed: the release says ""the Texas Panhandle""; Hereford TX is the brand's long-standing mill town and is not cited to a brand page I opened. Chain: Hometown Food Company (Chicago IL) is a portfolio company of Brynwood Partners, ""founded in 1984 and based in Greenwich, CT ... private equity firm"". Hain Celestial sold the brand for $15m in 2019, not 2025 as one search summary claimed."
Clif Bar,bar,founder_name,"Brand carries a person's first name, presented as the founder's father. Both sources place the business at its own Emeryville home",Emeryville,CA,,Clif Bar & Company,"Mondelez International, Inc.",public_company,Chicago,IL,USA,https://ir.mondelezinternational.com/news-releases/news-release-details/mondelez-international-completes-acquisition-clif-bar-company-us,https://www.bakingbusiness.com/articles/56943-mondelez-completes-acquisition-of-clif-bar,2026-09-22,"origin_unconfirmed: the ""named for the founder's father Clifford"" story is not in either source I opened, and Emeryville is cited to the acquirer rather than the brand. Ownership is firm: ""CHICAGO, Aug. 01, 2022 ... completed the acquisition of Clif Bar & Company"", operated ""from its headquarters in Emeryville, Calif."""
Simple Mills,mix,farm_name,"""Mills"" in the brand name, on a baking-mix and cracker range",Chicago,IL,,"Purposeful Foods Holdings, Inc.","Flowers Foods, Inc.",public_company,Thomasville,GA,USA,https://flowersfoods.com/news/news-releases/2025/flowers-foods-inc-completes-acquisition-of-simple-mills/,https://www.nasdaq.com/press-release/flowers-foods-inc-completes-acquisition-simple-mills-2025-02-21,2026-09-22,"unverified: only ownership_source_1 was opened and read. The second link is the same release carried by Nasdaq and is recorded for the two-source rule but not independently read, so this row is flagged. Origin city is also not cited to a brand page. Firm part: ""THOMASVILLE, Ga., Feb. 21, 2025 - Flowers Foods, Inc. (NYSE: FLO) today announced that it has completed the acquisition of Simple Mills""."
